customerID,TenureBand,ARPU,ChargeRatio,ServiceCount,ContractRiskFlag,ValueTier,AutoPayFlag
7590-VHVEG,0-6 months,29.85,1.0,1,1,Low,0
5575-GNVDE,25-48 months,55.5735294117647,1.0247684572638265,2,0,Medium,0
3668-QPYBK,0-6 months,54.075,0.9958391123439667,2,1,Medium,0
7795-CFOCW,25-48 months,40.90555555555556,1.034089365747657,3,0,Medium,1
9237-HQITU,0-6 months,75.825,0.9324101549620838,0,1,High,0
9305-CDSKC,7-12 months,102.5625,0.9716026812918952,3,1,Premium,0
1452-KIOVK,13-24 months,88.60909090909091,1.005540166204986,2,1,High,1
6713-OKOMC,7-12 months,30.189999999999998,0.9854256376283538,1,1,Low,0
7892-POOKP,25-48 months,108.78750000000001,0.9633459726531081,4,1,Premium,0
6388-TABGU,49-72 months,56.25725806451613,0.9980934359724193,2,0,Medium,1
9763-GRSKD,13-24 months,45.18846153846154,1.105370669844242,1,1,Medium,0
7469-LKBCI,13-24 months,20.425,0.9277845777233782,0,0,Low,1
8091-TTVAX,49-72 months,97.95,1.0245022970903521,3,0,Premium,1
0280-XJGEX,49-72 months,102.78163265306122,1.008935130949308,4,1,Premium,1
5129-JLPIS,25-48 months,107.44200000000001,0.9819251316989631,5,1,Premium,0
3655-SNQYZ,49-72 months,114.42246376811593,0.9897532029157141,6,0,Premium,1
8191-XWSZG,49-72 months,19.672115384615385,1.0497091744464537,0,0,Low,0
9959-WOFKT,49-72 months,103.97535211267606,1.0262047478749703,4,0,Premium,1
4190-MFLUW,7-12 months,52.835,1.044761994889751,2,1,Medium,1
4183-MYFRB,13-24 months,88.70952380952382,1.0151108486767941,3,1,High,0
8779-QRDMV,0-6 months,39.65,1.0,2,1,Medium,0
1680-VDCWW,7-12 months,16.854166666666668,1.1747836835599506,0,0,Low,1
1066-JKSGK,0-6 months,20.15,1.0,0,1,Low,0
3638-WEABW,49-72 months,60.432758620689654,0.9911842743431001,2,0,Medium,1
6322-HRPFA,49-72 months,60.61836734693878,0.9832003501329831,3,1,Medium,1
6865-JZNKO,25-48 months,51.019999999999996,1.083888671109369,2,1,Medium,1
6467-CHFZW,25-48 months,101.04574468085106,0.9832180495457081,3,1,Premium,0
8665-UTDHZ,0-6 months,30.2,1.0,1,1,Low,0
5248-YGIJN,49-72 months,88.46458333333334,1.0201822763346913,6,0,High,1
8773-HHUOZ,13-24 months,64.3,1.006220839813375,2,1,Medium,0
3841-NFECX,49-72 months,95.30915492957746,1.0109207249942735,4,0,Premium,1
4929-XIHVW,0-6 months,90.825,1.0514726121662537,3,1,Premium,1
6827-IEAUQ,25-48 months,69.42407407407407,0.9528394995865456,4,0,Medium,0
7310-EGVHZ,0-6 months,20.2,1.0,0,1,Low,1
3413-BMNZE,0-6 months,45.25,1.0,0,1,Medium,1
6234-RAAPL,49-72 months,100.71805555555555,0.9918777665926611,4,0,Premium,1
6047-YHPVI,0-6 months,63.379999999999995,1.0997159987377723,0,1,Medium,0
6572-ADKRS,25-48 months,77.13695652173914,0.96970380182059,1,1,High,1
5380-WJKOV,25-48 months,104.38970588235294,1.0187786152003944,4,1,Premium,0
8168-UQWWF,7-12 months,100.4909090909091,0.9737199203908086,3,1,Premium,1
8865-TNMNX,7-12 months,47.57,1.0416228715577043,1,0,Medium,0
9489-DEDVP,49-72 months,69.605,0.994181452481862,3,0,Medium,1
9867-JCZSP,13-24 months,24.602941176470587,0.8433950986252242,0,0,Low,0
4671-VJLCL,49-72 months,77.16587301587302,1.0347838607822768,5,0,High,1
4080-IIARD,13-24 months,75.49615384615385,1.0093229405471498,4,1,High,0
3714-NTNFO,49-72 months,79.72857142857143,1.0598459057516574,1,1,High,0
5948-UJZLF,0-6 months,48.5,1.0154639175257731,1,1,Medium,0
7760-OYPDY,0-6 months,72.075,1.1189732917100244,1,1,High,0
7639-LIAYI,49-72 months,81.11153846153846,0.9832139978187682,4,0,High,1
2954-PIBKO,49-72 months,61.6536231884058,1.0404903504854142,3,0,Medium,1
8012-SOUDQ,25-48 months,89.27325581395348,1.0109410615434713,2,1,High,0
9420-LOJKX,13-24 months,95.09333333333333,1.0421340437464945,4,1,Premium,1
6575-SUVOI,25-48 months,70.10600000000001,0.9913559467092687,3,1,Medium,1
7495-OOKFY,7-12 months,79.1625,1.0187904626559294,1,1,High,1
4667-QONEA,49-72 months,74.27250000000001,1.0077754215894172,5,0,High,1
1658-BYGOY,13-24 months,97.36388888888888,0.9803429288750679,2,1,Premium,0
8769-KKTPH,49-72 months,100.17777777777778,0.994731588287489,3,0,Premium,1
5067-XJQFU,49-72 months,107.21742424242424,1.011496039624948,5,0,Premium,0
3957-SQXML,25-48 months,26.302941176470586,0.9485631219948564,0,0,Low,1
5954-BDFSG,49-72 months,109.07916666666667,0.9855227472401543,4,0,Premium,1
0434-CSFON,25-48 months,100.15106382978725,1.0034840984895157,3,1,Premium,0
1215-FIGMP,49-72 months,90.845,0.9895976663547802,2,1,Premium,1
0526-SXDJP,49-72 months,41.138888888888886,1.023362592842674,3,0,Medium,1
0557-ASKVU,13-24 months,53.172222222222224,1.0230905861456483,2,0,Medium,1
5698-BQJOH,7-12 months,95.25,0.9910761154855644,2,1,Premium,0
