customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ServiceCount,ChurnFlag,Cluster,CustomerSegment,TenureBand,ARPU,ChargeRatio,ContractRiskFlag,ValueTier,AutoPayFlag
7590-VHVEG,Female,0,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1,0,0,New Budget,0-6 months,29.85,1.0,1,Low,0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2,0,3,New High-Spend,25-48 months,55.5735294117647,1.0247684572638265,0,Medium,0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,2,1,3,New High-Spend,0-6 months,54.075,0.9958391123439668,1,Medium,0
7795-CFOCW,Male,0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,3,0,2,Established Budget,25-48 months,40.90555555555556,1.034089365747657,0,Medium,1
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0,1,3,New High-Spend,0-6 months,75.825,0.9324101549620838,1,High,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,3,1,3,New High-Spend,7-12 months,102.5625,0.9716026812918952,1,Premium,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,2,0,3,New High-Spend,13-24 months,88.60909090909091,1.005540166204986,1,High,1
6713-OKOMC,Female,0,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1,0,0,New Budget,7-12 months,30.19,0.9854256376283538,1,Low,0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,4,1,1,Established High-Value,25-48 months,108.7875,0.963345972653108,1,Premium,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,2,0,2,Established Budget,49-72 months,56.25725806451613,0.9980934359724192,0,Medium,1
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,0,0,New Budget,13-24 months,45.18846153846154,1.105370669844242,1,Medium,0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,0,0,0,New Budget,13-24 months,20.425,0.9277845777233782,0,Low,1
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,3,0,1,Established High-Value,49-72 months,97.95,1.024502297090352,0,Premium,1
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4,1,1,Established High-Value,49-72 months,102.78163265306122,1.008935130949308,1,Premium,1
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,5,0,1,Established High-Value,25-48 months,107.442,0.9819251316989632,1,Premium,0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,6,0,1,Established High-Value,49-72 months,114.42246376811592,0.989753202915714,0,Premium,1
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,0,0,2,Established Budget,49-72 months,19.672115384615385,1.0497091744464535,0,Low,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,4,0,1,Established High-Value,49-72 months,103.97535211267606,1.0262047478749703,0,Premium,1
