customerID,SharedDriverContribution,PrimaryLever,SecondaryLever,PrimaryLeverContribution,SHAP_Service_quality,SHAP_Billing_and_payment,SHAP_Protection_and_support,SHAP_Engagement_and_bundling,SHAP_Price_and_plan_fit
7590-VHVEG,0.61098456,Billing and payment,Protection and support,0.32549694,-0.23269345,0.32549694,0.11711599,0.055351496,0.07061211
5575-GNVDE,-0.6947597,No actionable lever,Price and plan fit,-0.1541991,-0.26990137,-0.33030057,-0.1541991,-0.31639773,-0.21314603
3668-QPYBK,0.5841249,Price and plan fit,Billing and payment,0.113718346,-0.29860616,-0.11846093,-0.20319702,-0.16412795,0.113718346
7795-CFOCW,-0.7128247,No actionable lever,Engagement and bundling,-0.18316989,-0.18316989,-0.2604531,-0.3518068,-0.22316638,-0.25128967
9237-HQITU,0.6382352,Billing and payment,Service quality,0.3208027,0.2897377,0.3208027,0.15012516,-0.21404545,-0.12586185
9305-CDSKC,0.56630653,Price and plan fit,Service quality,0.44063646,0.36759132,0.32073867,0.15001976,0.24853961,0.44063646
1452-KIOVK,0.577875,Service quality,Protection and support,0.31706476,0.31706476,-0.11217282,0.09985359,0.020017821,-0.00590989
6713-OKOMC,0.524411,No actionable lever,Price and plan fit,-0.028189644,-0.33066952,-0.38586813,-0.15241385,-0.028189644,-0.14914832
7892-POOKP,0.42584503,Price and plan fit,Billing and payment,0.34531358,0.31727925,0.33164787,-0.06749525,0.23324378,0.34531358
6388-TABGU,-0.68573016,No actionable lever,Protection and support,-0.105426475,-0.1767887,-0.28699836,-0.14756289,-0.31878284,-0.105426475
9763-GRSKD,0.5006964,No actionable lever,Engagement and bundling,-0.086576566,-0.3461067,-0.16195537,-0.19410531,-0.15724805,-0.086576566
7469-LKBCI,-1.472047,Protection and support,Engagement and bundling,0.06654809,-0.5293767,-0.27856287,0.06654809,-0.24232127,-1.0845647
8091-TTVAX,-0.5102091,Engagement and bundling,Service quality,0.32369474,0.21624467,-0.3180288,0.14912231,0.32369474,0.12171943
0280-XJGEX,0.44066808,Service quality,Engagement and bundling,0.30092245,0.30092245,-0.0963304,0.10453322,0.21308362,0.19393735
5129-JLPIS,0.4250889,Price and plan fit,Billing and payment,0.36735043,0.31160507,0.33047554,-0.271004,0.03820564,0.36735043
3655-SNQYZ,-1.428241,Price and plan fit,Service quality,0.26793307,0.1896323,-0.19043726,-0.31620628,0.08953996,0.26793307
8191-XWSZG,-0.70878536,Protection and support,Engagement and bundling,0.07017582,-0.5219679,-0.33341858,0.07017582,-0.31837252,-0.4189983
9959-WOFKT,-1.4503188,Price and plan fit,Engagement and bundling,0.31674916,0.16786519,-0.28910565,-0.18517748,0.20813638,0.31674916
4190-MFLUW,0.50973845,No actionable lever,Price and plan fit,-0.04528975,-0.38309407,-0.37440616,-0.04528975,-0.15687256,-0.098015174
4183-MYFRB,0.5506968,Billing and payment,Service quality,0.3468886,0.30833524,0.3468886,0.09350756,-0.08907083,-0.02370397
8779-QRDMV,0.5796585,Billing and payment,Protection and support,0.30440038,-0.21966775,0.30440038,0.16651694,0.14580761,0.11675067
1680-VDCWW,-0.6845135,Protection and support,Billing and payment,0.062623896,-0.59966767,-0.28582704,0.062623896,-0.3216513,-0.5229003
1066-JKSGK,0.60684955,Protection and support,Price and plan fit,0.0874657,-0.6549561,-0.32259062,0.0874657,-0.1699419,0.0653135
3638-WEABW,-1.4624684,No actionable lever,Protection and support,-0.09260756,-0.17003797,-0.09260756,-0.09825693,-0.110452384,-0.3395343
6322-HRPFA,0.4654702,No actionable lever,Engagement and bundling,-0.14532988,-0.30743787,-0.26041624,-0.3562086,-0.16866241,-0.14532988
6865-JZNKO,0.4741227,No actionable lever,Engagement and bundling,-0.10181226,-0.3882978,-0.10181226,-0.23170388,-0.18322796,-0.1913901
6467-CHFZW,0.49124867,Billing and payment,Service quality,0.31858274,0.3057571,0.31858274,0.0892961,0.20564792,0.13188706
8665-UTDHZ,0.58666843,Protection and support,Price and plan fit,0.10625093,-0.2274631,-0.009805807,0.10625093,0.05088462,0.09578842
5248-YGIJN,-1.5508657,Engagement and bundling,Billing and payment,0.11800927,-0.16736786,-0.13545421,-0.43574542,0.11800927,-0.29306912
8773-HHUOZ,0.46156222,Protection and support,Engagement and bundling,0.14126047,-0.34002763,-0.14382166,0.14126047,0.07928088,0.035887916
3841-NFECX,-1.5325989,Service quality,Price and plan fit,0.14607257,0.14607257,-0.105336994,-0.37924033,-0.12277401,-0.02719535
4929-XIHVW,0.5781763,Service quality,Price and plan fit,0.29242957,0.29242957,-0.05180706,0.14400668,0.059967566,0.26893383
6827-IEAUQ,-0.6772899,No actionable lever,Service quality,-0.27568918,-0.2781502,-0.27568918,-0.30701575,-0.3144226,-0.30774382
